req_id,occupancy,occupancy_max,occupancy_pct,acc_rate,accepted_from_rate,generated_from_rate,gen_tokens,acc_tokens,gen_drafts,acc_drafts,calls_b,calls_g,calls_a,dur_b,dur_g,dur_a,prompt_tokens,prompt_tps,prompt_ms_per_token,eval_tokens,eval_tps,eval_ms_per_token,total_ms,total_tokens,draft_overhead,acc_to_gen_ratio,verif_pct,output_tokens
20,81151,4194304,1.9347906112670898,0.6072789383786624,144,144,7611,4622,161,161,21,4061,161,266.787,45.195,2.266,3856,508.62,1.97,1331,25.21,39.67,60376.76,5187,1.6466897446992643,0.6072789383786624,0.7210865303836461,1331
21,87207,4194304,2.079176902770996,0.593512164691204,135,135,8015,4757,171,171,22,4312,171,267.863,46.588,2.544,18512,1019.51,0.98,387,34.3,29.15,29439.05,18899,1.6848854319949549,0.593512164691204,0.8025363176075332,387
22,51966,4194304,1.2389659881591797,0.5890842935112189,100,100,8245,4857,177,177,23,4516,177,270.889,46.857,2.546,34541,800.46,1.25,305,31.72,31.53,52766.81,34846,1.6975499279390571,0.5890842935112189,0.7948996540656651,305
23,96298,4194304,2.2959232330322266,0.5866393343783914,8,8,8293,4865,178,178,24,4618,178,276.242,46.994,2.547,45075,603.72,1.66,111,23.94,41.77,79297.99,45186,1.7046248715313463,0.5866393343783914,0.7818087499961631,111
24,98831,4194304,2.3563146591186523,0.5836230667785637,3,3,8341,4868,179,179,25,4696,179,281.71,47.094,2.547,2509,507.3,1.97,82,22.83,43.8,8537.22,2591,1.7134346754313887,0.5836230667785637,0.7686712881506319,82
25,99550,4194304,2.3734569549560547,0.5793528505392912,20,20,8437,4888,181,181,26,4833,181,287.251,52.738,2.816,672,446.9,2.24,158,24.34,41.09,7995.62,830,1.726063829787234,0.5793528505392912,0.8214582634442321,158
26,104735,4194304,2.497076988220215,0.5719253506433291,46,46,8627,4934,186,186,27,4942,186,292.983,58.764,3.077,5201,503.33,1.99,156,24.46,40.88,16709.82,5357,1.7484799351438995,0.5719253506433291,0.867190494442315,156
27,112347,4194304,2.678561210632324,0.5693950177935944,26,26,8711,4960,188,188,28,5048,188,299.172,58.921,3.077,7953,489.26,2.04,133,24.5,40.81,21683.49,8086,1.75625,0.5693950177935944,0.8519533737575102,133
28,123796,4194304,2.951526641845703,0.5693950177935944,,,8711,4960,188,188,29,5155,188,305.78,59.044,3.077,11694,467.29,2.14,108,22.5,44.44,29824.09,11802,1.75625,0.5693950177935944,0.836366305065765,108
29,123919,4194304,2.9544591903686523,0.5002677137247903,646,646,11206,5606,245,245,30,23231,245,312.249,180.767,6.6,19,80.48,12.42,18723,22.09,45.27,847898.3,18742,1.9989297181591152,0.5002677137247903,1.3210145391660792,18723
30,141462,4194304,3.3727169036865234,0.5002677137247903,,,11206,5606,245,245,31,23315,245,319.61,180.878,6.6,21,71.58,13.97,85,21.65,46.2,4220.07,106,1.9989297181591152,0.5002677137247903,1.3015492380020823,85
31,187179,4194304,4.462695121765137,0.49438497982102125,29,29,11398,5635,249,249,32,23377,249,493.55,185.933,6.822,1442,450.67,2.22,92,22.67,44.11,7257.38,1534,2.0227151730257322,0.49438497982102125,0.9940186943122956,92
32,83896,4194304,2.0002365112304688,0.49438497982102125,,,11398,5635,249,249,33,23604,249,498.547,186.243,6.822,1522,490.56,2.04,228,23.54,42.48,12787.53,1750,2.0227151730257322,0.49438497982102125,0.9863912135706149,228
33,84195,4194304,2.0073652267456055,0.4893011216566005,36,36,11590,5671,253,253,34,23664,253,503.544,191.351,7.088,12440,520.01,1.92,97,23.21,43.08,28101.79,12537,2.043731264327279,0.4893011216566005,1.0097110613789793,97
34,104438,4194304,2.4899959564208984,0.48593829896028634,31,31,11734,5702,256,256,35,23721,256,509.63,191.463,7.088,22349,478.25,2.09,89,24.01,41.65,50437.66,22438,2.057874430024553,0.48593829896028634,1.000874070329478,89
35,109914,4194304,2.620553970336914,0.48167714884696017,42,42,11925,5744,260,260,36,23882,260,515.906,198.031,7.53,5611,442.5,2.26,204,22.83,43.8,21616.25,5815,2.0760793871866294,0.48167714884696017,1.0437067807675198,204
36,110968,4194304,2.6456832885742188,0.4789119041677065,13,13,12021,5757,262,262,37,24068,262,522.362,198.301,7.53,1084,409.39,2.44,200,21.41,46.7,11987.71,1284,2.0880667014069827,0.4789119041677065,1.034066518079685,200
37,112286,4194304,2.6771068572998047,0.47783577761206397,10,10,12069,5767,263,263,38,24406,263,528.679,205.341,7.807,1404,430.14,2.32,349,21.95,45.56,19163.81,1753,2.092769204092249,0.47783577761206397,1.0524017055189416,349
38,113350,4194304,2.702474594116211,0.47783577761206397,,,12069,5767,263,263,39,25237,263,535.267,206.437,7.807,769,401.25,2.49,832,21.77,45.92,40125.68,1601,2.092769204092249,0.47783577761206397,1.0416124646602918,832
39,114214,4194304,2.723073959350586,0.4727183753364326,29,29,12261,5796,267,267,40,25569,267,541.825,213.546,8.076,34745,468.83,2.13,362,21.48,46.56,90964.32,35107,2.1154244306418217,0.4727183753364326,1.0578337461539569,362
40,114581,4194304,2.7318239212036133,0.4682405845980888,35,35,12453,5831,271,271,41,25657,271,548.484,220.36,8.351,2069,413.23,2.42,124,21.63,46.24,10740.63,2193,2.135654261704682,0.4682405845980888,1.0745051113298465,124
41,114737,4194304,2.7355432510375977,0.4684835445055383,48,48,12549,5879,273,273,42,25772,273,555.174,220.558,8.351,614,385.08,2.6,164,26.0,38.46,7901.49,778,2.13454669161422,0.4684835445055383,1.0650658157363444,164
42,119861,4194304,2.8577089309692383,0.459175364571767,324,324,13509,6203,293,293,44,26757,293,568.57,256.631,9.723,148241,607.93,1.64,1300,24.24,41.25,297464.28,149541,2.1778171852329518,0.459175364571767,1.1645371315233484,1300
43,120340,4194304,2.869129180908203,0.4572867990654206,60,60,13696,6263,297,297,45,26923,297,575.471,263.847,10.001,20,78.59,12.72,227,23.82,41.98,9784.84,247,2.1868114322209804,0.4572867990654206,1.1775316459422196,227
44,120513,4194304,2.87325382232666,0.45707656612529,41,41,13792,6304,299,299,46,27026,299,582.266,264.018,10.002,20,79.71,12.55,145,25.22,39.65,6000.18,165,2.1878172588832485,0.45707656612529,1.16806767832243,145
45,120628,4194304,2.875995635986328,0.45583238958097394,136,136,14128,6440,306,306,47,27430,306,589.138,264.627,10.005,20,80.53,12.42,541,24.55,40.74,22288.54,561,2.1937888198757762,0.45583238958097394,1.1582944533845814,541
46,121031,4194304,2.885603904724121,0.454760579064588,94,94,14368,6534,311,311,48,27631,311,596.14,271.764,10.273,20,78.86,12.68,296,25.78,38.79,11736.24,316,2.1989592898683807,0.454760579064588,1.169809730840138,296
47,121280,4194304,2.89154052734375,0.4532111356119074,43,43,14512,6577,314,314,49,28068,314,603.073,279.287,10.544,335,347.96,2.87,481,21.94,45.58,22884.65,816,2.206477117226699,0.4532111356119074,1.1808660281508427,481
48,121712,4194304,2.9018402099609375,0.4515953466222192,61,61,14699,6638,318,318,50,28256,318,609.853,279.582,10.546,504,371.15,2.69,250,23.27,42.97,12101.17,754,2.214371798734559,0.4515953466222192,1.1718025158308898,250
49,121896,4194304,2.9062271118164062,0.44866026458934927,43,43,14891,6681,322,322,51,28314,322,616.66,286.528,10.751,20,76.54,13.06,102,23.2,43.11,4658.76,122,2.228857955395899,0.44866026458934927,1.1763367139382388,102
50,123097,4194304,2.934861183166504,0.4456010077570775,40,40,15083,6721,326,326,52,28381,326,623.513,286.659,10.963,1384,393.05,2.54,108,21.54,46.43,8535.4,1492,2.244160095223925,0.4456010077570775,1.1901621369288973,108
51,123246,4194304,2.938413619995117,0.4450227287700112,34,34,15179,6755,328,328,53,28446,328,630.616,286.775,10.963,865,383.8,2.61,100,24.22,41.29,6382.31,965,2.247076239822354,0.4450227287700112,1.1809072832130847,100
52,123854,4194304,2.952909469604492,0.4438425895712328,46,46,15323,6801,331,331,54,28499,331,637.657,286.877,10.964,645,348.36,2.87,100,25.99,38.48,5699.85,745,2.2530510219085427,0.4438425895712328,1.1719960919210943,100
53,124778,4194304,2.9749393463134766,0.44428273112700123,220,220,15803,7021,341,341,55,28614,341,644.678,294.231,11.233,1126,379.97,2.63,336,35.89,27.86,12325.78,1462,2.250818971656459,0.44428273112700123,1.182244338214709,336
54,124937,4194304,2.9787302017211914,0.44666583881783184,173,173,16106,7194,348,348,56,28711,348,651.776,294.429,11.235,359,341.67,2.93,271,38.81,25.77,8033.6,630,2.2388101195440644,0.44666583881783184,1.1734416778074865,271
55,125087,4194304,2.982306480407715,0.44441035709903054,49,49,16298,7243,352,352,57,28764,352,658.923,294.539,11.238,294,305.11,3.28,103,24.28,41.19,5206.4,397,2.250172580422477,0.44441035709903054,1.1649217373276666,103
56,125546,4194304,2.9932498931884766,0.44986901643248395,313,313,16796,7556,363,363,58,28947,363,665.997,294.914,11.246,578,342.99,2.92,497,37.89,26.39,14801.6,1075,2.222869242985707,0.44986901643248395,1.1568090339317623,497
57,125763,4194304,2.9984235763549805,0.4480221332705439,55,55,16988,7611,367,367,59,29001,367,673.12,295.032,11.248,520,337.7,2.96,110,24.75,40.4,5983.68,630,2.232032584417291,0.4480221332705439,1.1484582397386154,110
58,126453,4194304,3.0148744583129883,0.44544722924810304,138,138,17396,7749,376,376,60,29228,376,680.279,302.607,11.52,810,354.61,2.82,366,24.75,40.4,17069.99,1176,2.244934830300684,0.44544722924810304,1.1584805401415519,366
59,126602,4194304,3.0184268951416016,0.44371162156015465,55,55,17588,7804,380,380,61,29274,380,687.454,302.708,11.522,20,78.17,12.79,102,25.53,39.18,4251.89,122,2.2537160430548435,0.44371162156015465,1.1502629571801086,102
60,127076,4194304,3.0297279357910156,0.44371162156015465,,,17588,7804,380,380,62,29353,380,694.703,302.821,11.522,492,340.84,2.93,80,21.06,47.49,5242.43,572,2.2537160430548435,0.44371162156015465,1.1418706382067814,80
61,127184,4194304,3.0323028564453125,0.44371162156015465,,,17588,7804,380,380,63,29588,380,701.773,303.155,11.522,35,110.38,9.06,236,20.89,47.86,11612.69,271,2.2537160430548435,0.44371162156015465,1.1335530522898323,236
62,21899,4194304,0.5221128463745117,0.3333333333333333,38,114,114,38,3,3,1,128,3,1.404,0.145,0.0,22906,970.62,1.03,167,31.47,31.78,28906.12,23073,3.0,0.3333333333333333,0.0,167
63,22120,4194304,0.5273818969726562,0.3333333333333333,38,114,114,38,3,3,2,200,3,2.735,0.215,0.0,22906,970.62,1.03,167,31.47,31.78,28906.12,23073,3.0,0.3333333333333333,0.0,167
64,22120,4194304,0.5273818969726562,0.3333333333333333,,,114,38,3,3,3,318,3,4.068,0.334,0.0,104,314.29,3.18,73,29.71,33.66,2787.77,177,3.0,0.3333333333333333,0.0,73
65,22383,4194304,0.5336523056030273,0.2777777777777778,7,48,162,45,4,4,4,368,4,5.413,0.391,0.0,1011,792.07,1.26,58,29.31,34.12,3255.2,1069,3.6,0.2777777777777778,0.0,58
66,22513,4194304,0.5367517471313477,0.2578125,7,48,384,99,9,9,5,459,9,6.765,1.883,0.272,1011,792.07,1.26,58,29.31,34.12,3255.2,1069,3.878787878787879,0.2578125,3.04932735426009,58
67,22622,4194304,0.5393505096435547,0.25684210526315787,23,91,475,122,11,11,6,913,11,8.17,3.749,0.552,6246,304.46,3.28,478,29.18,34.28,36898.64,6724,3.8934426229508197,0.25684210526315787,4.426268943949965,478
68,24936,4194304,0.5945205688476562,0.25047801147227533,23,91,523,131,12,12,7,1078,12,9.688,3.927,0.553,1887,768.48,1.3,478,29.18,34.28,36898.64,6724,3.9923664122137406,0.25047801147227533,3.9031620553359687,478
69,26829,4194304,0.639653205871582,0.24518388791593695,9,48,571,140,13,13,8,1549,13,11.303,4.406,0.553,1756,740.97,1.35,175,28.78,34.75,8535.98,2062,4.078571428571428,0.24518388791593695,3.400565736071824,175
70,29263,4194304,0.6976842880249023,0.24518388791593695,9,48,571,140,13,13,9,2228,13,13.052,5.074,0.553,1756,740.97,1.35,481,28.39,35.22,19313.04,2237,4.078571428571428,0.24518388791593695,2.960543926334387,481
71,30006,4194304,0.7153987884521484,0.24518388791593695,,,571,140,13,13,10,2665,13,14.829,5.496,0.553,721,656.8,1.52,438,28.17,35.49,26901.61,2673,4.078571428571428,0.24518388791593695,2.6487211418718264,438
72,32414,4194304,0.7728099822998047,0.29226736566186107,83,192,763,223,17,17,11,2919,17,16.734,7.679,0.822,31228,632.78,1.58,338,32.87,30.42,59632.44,31566,3.42152466367713,0.29226736566186107,3.2573806221517723,338
73,32239,4194304,0.7686376571655273,0.29226736566186107,83,192,763,223,17,17,12,3042,17,18.627,7.791,0.822,31228,632.78,1.58,338,32.87,30.42,59632.44,31566,3.42152466367713,0.29226736566186107,3.0176211453744495,338
74,32508,4194304,0.7750511169433594,0.2725199543899658,16,114,877,239,20,20,13,3162,20,20.552,7.924,0.823,1105,684.59,1.46,137,26.97,37.07,6693.19,1242,3.6694560669456067,0.2725199543899658,2.8089695894057813,137
75,32658,4194304,0.7786273956298828,0.2692702980472765,23,96,973,262,22,22,14,3500,22,22.541,8.263,1.046,2554,284.06,3.52,362,28.03,35.68,21906.22,2916,3.713740458015267,0.2692702980472765,3.28414442700157,362
76,33302,4194304,0.7939815521240234,0.24709042076991944,11,96,1117,276,25,25,16,3848,25,26.417,10.576,1.271,4795,340.76,2.93,101,25.86,38.66,17976.46,4896,4.047101449275362,0.24709042076991944,3.3216600459962358,101
77,39281,4194304,0.9365320205688477,0.24709042076991944,,,1117,276,25,25,17,4775,25,28.717,11.517,1.271,6280,705.55,1.42,928,27.09,36.92,43160.71,7208,4.047101449275362,0.24709042076991944,3.062281652812914,928
78,40221,4194304,0.9589433670043945,0.24166048925129727,50,232,1349,326,30,30,18,5412,30,31.077,14.586,1.537,6280,705.55,1.42,928,27.09,36.92,43160.71,7208,4.138036809815951,0.24166048925129727,3.2563559322033893,928
79,41078,4194304,0.9793758392333984,0.27697136131816397,380,1200,2549,706,55,55,19,7049,55,33.524,26.637,2.631,1912,660.21,1.51,2018,29.29,34.14,71791.88,3930,3.6104815864022664,0.27697136131816397,4.1900242069053375,2018
80,42776,4194304,1.0198593139648438,0.27599243856332706,24,96,2645,730,57,57,20,7396,57,36.16,29.548,2.897,2068,641.2,1.56,372,27.21,36.75,16894.73,2440,3.6232876712328768,0.27599243856332706,4.222724291232416,372
81,43088,4194304,1.0272979736328125,0.2852973367384166,24,96,2741,782,59,59,21,7781,59,38.708,29.961,2.898,2068,641.2,1.56,372,27.21,36.75,16894.73,2440,3.5051150895140664,0.2852973367384166,4.049352355135747,372
82,43481,4194304,1.036667823791504,0.28178463602817844,52,96,2981,840,64,64,22,8066,64,41.282,32.903,3.182,20,91.18,10.97,438,28.89,34.62,15381.54,458,3.5488095238095236,0.28178463602817844,4.112864658058345,438
83,43776,4194304,1.043701171875,0.27624309392265195,58,240,3077,850,66,66,23,8177,66,43.888,35.62,3.464,20,90.42,11.06,344,27.9,35.85,12553.13,364,3.62,0.27624309392265195,4.174902376705395,344
84,45862,4194304,1.093435287475586,0.26235192140999714,10,96,3461,908,74,74,24,8757,74,46.625,41.793,4.002,2008,631.86,1.58,639,26.33,37.98,27444.68,2647,3.8116740088105727,0.26235192140999714,4.330231551612205,639
85,46445,4194304,1.107335090637207,0.26235192140999714,58,384,3461,908,74,74,25,8856,74,49.362,41.892,4.002,2008,631.86,1.58,639,26.33,37.98,27444.68,2647,3.8116740088105727,0.26235192140999714,4.201310153691106,639
86,46887,4194304,1.117873191833496,0.2996701344836336,273,480,3941,1181,84,84,26,9185,84,52.133,45.115,4.272,21,89.16,11.22,100,26.59,37.61,3996.93,121,3.337002540220152,0.2996701344836336,4.208037825059101,100
87,47220,4194304,1.1258125305175781,0.30765419866237304,273,480,4037,1242,86,86,27,9215,86,54.918,45.169,4.274,350,480.76,2.08,603,39.37,25.4,16042.76,953,3.250402576489533,0.30765419866237304,4.095399622464331,603
88,47307,4194304,1.1278867721557617,0.3029276554560852,61,96,4133,1252,88,88,28,9267,88,57.723,48.066,4.543,187,400.9,2.49,63,24.56,40.72,1987.31,112,3.30111821086262,0.3029276554560852,4.117572417793569,63
89,47370,4194304,1.1293888092041016,0.29857376665887303,25,144,4277,1277,91,91,29,10265,91,60.547,51.997,4.809,484,273.84,3.65,1024,26.26,38.08,40765.58,1508,3.349256068911511,0.29857376665887303,4.09789268276056,1024
90,48428,4194304,1.1546134948730469,0.29495589233205155,25,144,4421,1304,94,94,30,10440,94,63.43,55.074,5.091,484,273.84,3.65,1024,26.26,38.08,40765.58,1508,3.3903374233128836,0.29495589233205155,4.11909866904001,1024
91,48655,4194304,1.1600255966186523,0.29552549427679503,27,144,4805,1420,102,102,31,11286,102,66.326,61.943,5.631,226,442.43,2.26,963,27.47,36.4,35564.79,1189,3.3838028169014085,0.29552549427679503,4.20537714712472,963
92,49459,4194304,1.179194450378418,0.2994544352394423,116,384,4949,1482,105,105,32,11321,105,69.244,62.006,5.633,226,442.43,2.26,963,27.47,36.4,35564.79,1189,3.3394062078272606,0.2994544352394423,4.1151932672428275,963
93,49511,4194304,1.180434226989746,0.29990089197224973,62,144,5045,1513,107,107,33,11352,107,72.196,62.059,5.634,202,419.53,2.38,98,37.53,26.65,2865.48,127,3.3344348975545275,0.29990089197224973,4.027478929722852,98
94,49541,4194304,1.1811494827270508,0.32924723756906077,394,747,5792,1907,123,123,34,13005,123,75.143,70.067,6.511,547,291.25,3.43,2048,29.97,33.37,70213.73,2595,3.037231253277399,0.32924723756906077,4.2914296636589535,2048
95,51170,4194304,1.2199878692626953,0.3327156334231806,394,747,5936,1975,126,126,35,13030,126,78.173,70.124,6.512,547,291.25,3.43,2048,29.97,33.37,70213.73,2595,3.0055696202531648,0.3327156334231806,4.206473783823938,2048
96,51359,4194304,1.2244939804077148,0.34438775510204084,68,144,6272,2160,133,133,36,13157,133,81.224,73.395,6.783,480,535.93,1.87,313,43.84,22.81,8035.24,793,2.903703703703704,0.34438775510204084,4.202550154273181,313
97,51527,4194304,1.228499412536621,0.37161764705882355,185,336,6800,2527,144,144,37,13601,144,84.296,74.01,6.788,336,508.37,1.97,812,40.31,24.81,8035.24,793,2.6909378709932725,0.37161764705882355,4.111597029571032,812
98,51955,4194304,1.238703727722168,0.3776102088167053,77,96,6896,2604,146,146,38,13615,146,87.375,74.043,6.789,833,547.85,1.83,92,75.39,13.26,2740.82,925,2.6482334869431643,0.3776102088167053,4.036098378783285,92
99,52158,4194304,1.2435436248779297,0.3759743875278396,77,96,7184,2701,152,152,39,13765,152,90.467,74.267,6.791,453,522.94,1.91,248,31.67,31.58,2740.82,925,2.659755646057016,0.3759743875278396,3.959189622504009,248
100,52356,4194304,1.2482643127441406,0.41188524590163933,97,288,7808,3216,165,165,40,14223,165,93.629,74.935,6.797,271,431.19,2.32,974,44.9,22.27,8697.51,701,2.427860696517413,0.41188524590163933,3.8760043567269795,974
101,52852,4194304,1.2600898742675781,0.41234909456740443,63,144,7952,3279,168,168,41,14448,168,96.786,75.202,6.799,997,560.84,1.78,289,29.75,33.61,11491.94,1286,2.4251296126867947,0.41234909456740443,3.802849200445223,289
102,53253,4194304,1.2696504592895508,0.42870478413068847,395,618,8570,3674,181,181,42,14836,181,99.998,75.782,6.804,686,513.01,1.95,784,40.71,24.56,20593.7,1470,2.332607512248231,0.42870478413068847,3.726503965298164,784
103,53632,4194304,1.2786865234375,0.4342257096699746,89,96,8666,3763,183,183,43,14838,183,103.222,75.8,6.804,805,527.94,1.89,92,112.59,8.88,2341.89,897,2.3029497741163967,0.4342257096699746,3.661489780762649,92
104,53657,4194304,1.279282569885254,0.4350470507229745,89,96,8714,3791,184,184,44,14867,184,106.447,75.839,6.804,172,357.15,2.8,58,36.56,27.35,2341.89,897,2.298601951991559,0.4350470507229745,3.598286530223703,58
105,53686,4194304,1.2799739837646484,0.4295961156477599,102,348,9062,3893,192,192,45,15235,192,109.703,82.733,7.347,542,281.28,3.56,471,27.71,36.09,18927.01,1013,2.3277677883380425,0.4295961156477599,3.677490076733256,471
106,53951,4194304,1.2862920761108398,0.4322996287398995,102,348,9158,3959,194,194,46,15261,194,112.917,82.784,7.347,542,281.28,3.56,471,27.71,36.09,18927.01,1013,2.3132104066683508,0.4322996287398995,3.6183562507387412,471
107,54000,4194304,1.2874603271484375,0.43286986747773193,66,96,9206,3985,195,195,47,15295,195,116.216,82.831,7.348,198,396.26,2.52,61,34.14,29.29,1944.04,122,2.310163111668758,0.43286986747773193,3.560163763657065,61
108,54034,4194304,1.2882709503173828,0.43291190864600326,261,602,9808,4246,208,208,48,15671,208,119.457,86.553,7.929,545,281.46,3.55,638,33.37,29.97,21057.06,1183,2.309938765897315,0.43291190864600326,3.7061966261410966,638
109,54397,4194304,1.2969255447387695,0.4378029079159935,90,96,9904,4336,210,210,49,15673,210,122.744,86.574,7.93,667,491.14,2.04,93,111.8,8.94,2189.94,760,2.284132841328413,0.4378029079159935,3.650206215937546,93
110,54420,4194304,1.2974739074707031,0.4383038585209003,90,96,9952,4362,211,211,50,15702,211,126.058,86.617,7.93,173,350.18,2.86,56,35.15,28.45,2189.94,760,2.2815222375057314,0.4383038585209003,3.5946601391627566,56
111,54447,4194304,1.2981176376342773,0.4342182890855457,54,218,10170,4416,216,216,51,16074,216,129.311,87.073,7.931,540,278.04,3.6,427,26.27,38.06,18194.13,967,2.3029891304347827,0.4342182890855457,3.535652987985645,427
112,54823,4194304,1.307082176208496,0.4336823734729494,54,218,10314,4473,219,219,52,16111,219,132.602,90.414,8.199,540,278.04,3.6,427,26.27,38.06,18194.13,967,2.305835010060362,0.4336823734729494,3.5460502130052114,427
113,54876,4194304,1.3083457946777344,0.4348581354950782,57,144,10362,4506,220,220,53,16140,220,135.891,90.455,8.2,191,382.91,2.61,63,38.25,26.15,2562.61,115,2.299600532623169,0.4348581354950782,3.4961159005056577,63
114,54905,4194304,1.309037208557129,0.4334293948126801,6,48,10410,4512,221,221,54,16635,221,139.227,90.992,8.2,547,280.3,3.57,502,25.2,39.68,21869.85,1049,2.30718085106383,0.4334293948126801,3.4393232083013516,502
115,55515,4194304,1.3235807418823242,0.4334293948126801,6,48,10410,4512,221,221,55,16954,221,142.574,91.336,8.2,547,280.3,3.57,502,25.2,39.68,21869.85,1049,2.30718085106383,0.4334293948126801,3.386890256494981,502
116,55848,4194304,1.3315200805664062,0.4334293948126801,,,10410,4512,221,221,56,17016,221,145.909,91.403,8.2,129,304.68,3.28,320,25.34,39.47,13052.45,449,2.30718085106383,0.4334293948126801,3.3399589429437255,320
117,57491,4194304,1.370692253112793,0.4334293948126801,,,10410,4512,221,221,57,17138,221,149.351,91.537,8.2,1604,548.72,1.82,63,25.6,39.06,2693.19,81,2.30718085106383,0.4334293948126801,3.2920092497430624,63
118,59155,4194304,1.410365104675293,0.4334293948126801,,,10410,4512,221,221,58,17304,221,152.893,91.722,8.2,2290,556.72,1.8,123,25.31,39.51,7783.48,1727,2.30718085106383,0.4334293948126801,3.2434784328461523,123
